MunicipioNome | MunicipioCodigo | Ano | ICV
Gonçalves | 3127404 | 2015 | 95.92013833992095
Gonçalves | 3127404 | 2016 | 100.0
Gonçalves | 3127404 | 2017 | 100.0
Gonçalves | 3127404 | 2018 | 100.0
Gonçalves | 3127404 | 2019 | 100.0
Gonçalves | 3127404 | 2020 | 100.0
Grão Mogol | 3127800 | 2015 | 100.0
Grão Mogol | 3127800 | 2016 | 100.0
Grão Mogol | 3127800 | 2017 | 100.0
Grão Mogol | 3127800 | 2018 | 100.0
Grão Mogol | 3127800 | 2019 | 75.0
Grão Mogol | 3127800 | 2020 | 100.0
Guapé | 3128105 | 2015 | 95.35834486166007
Guapé | 3128105 | 2016 | 73.21024829600779
Guapé | 3128105 | 2017 | 100.0
Guapé | 3128105 | 2018 | 100.0
Guapé | 3128105 | 2019 | 89.71088818249814
Guapé | 3128105 | 2020 | 96.63352424749164
Guaranésia | 3128303 | 2015 | 75.0
Guaranésia | 3128303 | 2016 | 62.5
Guaranésia | 3128303 | 2017 | 100.0
Guaranésia | 3128303 | 2018 | 100.0
Guaranésia | 3128303 | 2019 | 75.0
Guaranésia | 3128303 | 2020 | 100.0
Guarará | 3128501 | 2015 | 73.30863636363637
Guarará | 3128501 | 2016 | 75.0
Guarará | 3128501 | 2017 | 100.0
Guarará | 3128501 | 2018 | 100.0
Guarará | 3128501 | 2019 | 100.0
Guarará | 3128501 | 2020 | 100.0
Guarda-Mor | 3128600 | 2015 | 100.0
Guarda-Mor | 3128600 | 2016 | 100.0
Guarda-Mor | 3128600 | 2017 | 100.0
Guarda-Mor | 3128600 | 2018 | 75.0
Guarda-Mor | 3128600 | 2019 | 75.0
Guarda-Mor | 3128600 | 2020 | 100.0
Guimarânia | 3128907 | 2015 | 75.0
Guimarânia | 3128907 | 2016 | 75.0
Guimarânia | 3128907 | 2017 | 75.0
Guimarânia | 3128907 | 2018 | 94.91582792207792
Guimarânia | 3128907 | 2019 | 80.3820119670905
Guimarânia | 3128907 | 2020 | 100.0
Guiricema | 3129004 | 2015 | 100.0
Guiricema | 3129004 | 2016 | 93.70988558909445
Guiricema | 3129004 | 2017 | 94.93734913793104
Guiricema | 3129004 | 2018 | 25.0
Guiricema | 3129004 | 2019 | 92.09362378459237
Guiricema | 3129004 | 2020 | 95.08973244147157
Heliodora | 3129202 | 2015 | 100.0
Heliodora | 3129202 | 2016 | 100.0
Heliodora | 3129202 | 2017 | 100.0
Heliodora | 3129202 | 2018 | 100.0
Heliodora | 3129202 | 2019 | 100.0
Heliodora | 3129202 | 2020 | 100.0
Ibertioga | 3129400 | 2015 | 100.0
Ibertioga | 3129400 | 2016 | 100.0
