MunicipioNome | MunicipioCodigo | Ano | IRH
Cruzília | 3120805 | 2015 | 78.405
Cruzília | 3120805 | 2016 | 80.445
Cruzília | 3120805 | 2017 | 79.475
Cruzília | 3120805 | 2018 | 79.655
Cruzília | 3120805 | 2019 | 79.18
Cruzília | 3120805 | 2020 | 78.545
Curral de Dentro | 3120870 | 2015 | 79.985
Curral de Dentro | 3120870 | 2016 | 78.405
Curral de Dentro | 3120870 | 2017 | 78.985
Curral de Dentro | 3120870 | 2018 | 76.61
Curral de Dentro | 3120870 | 2019 | 78.38
Curral de Dentro | 3120870 | 2020 | 79.055
Datas | 3121001 | 2015 | 77.185
Datas | 3121001 | 2016 | 77.31
Datas | 3121001 | 2017 | 76.63
Datas | 3121001 | 2018 | 76.735
Datas | 3121001 | 2019 | 77.435
Datas | 3121001 | 2020 | 76.6
Delfim Moreira | 3121100 | 2015 | 78.405
Delfim Moreira | 3121100 | 2016 | 78.445
Delfim Moreira | 3121100 | 2017 | 77.995
Delfim Moreira | 3121100 | 2018 | 77.74
Delfim Moreira | 3121100 | 2019 | 77.58500000000001
Delfim Moreira | 3121100 | 2020 | 74.405
Delfinópolis | 3121209 | 2015 | 78.405
Delfinópolis | 3121209 | 2016 | 77.795
Delfinópolis | 3121209 | 2017 | 77.74
Delfinópolis | 3121209 | 2018 | 77.3
Delfinópolis | 3121209 | 2019 | 77.47
Delfinópolis | 3121209 | 2020 | 76.555
Delta | 3121258 | 2015 | 78.405
Delta | 3121258 | 2016 | 27.305
Delta | 3121258 | 2017 | 26.77
Delta | 3121258 | 2018 | 26.73
Delta | 3121258 | 2019 | 28.13
Delta | 3121258 | 2020 | 78.115
Dom Viçoso | 3122801 | 2015 | 78.405
Dom Viçoso | 3122801 | 2016 | 29.305
Dom Viçoso | 3122801 | 2017 | 28.19
Dom Viçoso | 3122801 | 2018 | 28.12
Dom Viçoso | 3122801 | 2019 | 78.235
Dom Viçoso | 3122801 | 2020 | 77.645
Dona Eusébia | 3122900 | 2015 | 77.795
Dona Eusébia | 3122900 | 2016 | 27.855
Dona Eusébia | 3122900 | 2017 | 26.87
Dona Eusébia | 3122900 | 2018 | 27.025
Dona Eusébia | 3122900 | 2019 | 27.58
Dona Eusébia | 3122900 | 2020 | 76.76
Douradoquara | 3123502 | 2015 | 79.37
Douradoquara | 3123502 | 2016 | 78.88
Douradoquara | 3123502 | 2017 | 77.675
Douradoquara | 3123502 | 2018 | 78.28999999999999
Douradoquara | 3123502 | 2019 | 78.83500000000001
Douradoquara | 3123502 | 2020 | 78.805
Entre Rios de Minas | 3123908 | 2015 | 77.93
Entre Rios de Minas | 3123908 | 2016 | 77.045
Entre Rios de Minas | 3123908 | 2017 | 76.985
Entre Rios de Minas | 3123908 | 2018 | 77.53
Entre Rios de Minas | 3123908 | 2019 | 77.135
Entre Rios de Minas | 3123908 | 2020 | 77.115
Estiva | 3124500 | 2015 | 78.405
Estiva | 3124500 | 2016 | 78.445
Estiva | 3124500 | 2017 | 77.995
Estiva | 3124500 | 2018 | 77.74
Estiva | 3124500 | 2019 | 77.58500000000001
Estiva | 3124500 | 2020 | 74.405
Estrela do Indaiá | 3124708 | 2015 | 80.49
Estrela do Indaiá | 3124708 | 2016 | 80.1
Estrela do Indaiá | 3124708 | 2017 | 79.285
Estrela do Indaiá | 3124708 | 2018 | 78.92
Estrela do Indaiá | 3124708 | 2019 | 79.41
Estrela do Indaiá | 3124708 | 2020 | 78.88
Felício dos Santos | 3125408 | 2015 | 80.65
Felício dos Santos | 3125408 | 2016 | 29.27
Felício dos Santos | 3125408 | 2017 | 29.48
Felício dos Santos | 3125408 | 2018 | 29.64
Felício dos Santos | 3125408 | 2019 | 78.51
Felício dos Santos | 3125408 | 2020 | 78.31
São Gonçalo do Rio Preto | 3125507 | 2015 | 80.65
São Gonçalo do Rio Preto | 3125507 | 2016 | 79.27
São Gonçalo do Rio Preto | 3125507 | 2017 | 79.48
São Gonçalo do Rio Preto | 3125507 | 2018 | 79.64
São Gonçalo do Rio Preto | 3125507 | 2019 | 28.51
São Gonçalo do Rio Preto | 3125507 | 2020 | 78.31
Francisco Badaró | 3126505 | 2015 | 80.65
Francisco Badaró | 3126505 | 2016 | 79.27
Francisco Badaró | 3126505 | 2017 | 79.48
Francisco Badaró | 3126505 | 2018 | 79.64
Francisco Badaró | 3126505 | 2019 | 78.51
Francisco Badaró | 3126505 | 2020 | 78.31
Glaucilândia | 3127354 | 2015 | 78.16
Glaucilândia | 3127354 | 2016 | 77.355
Glaucilândia | 3127354 | 2017 | 76.35
Glaucilândia | 3127354 | 2018 | 77.56
Glaucilândia | 3127354 | 2019 | 77.41499999999999
Glaucilândia | 3127354 | 2020 | 77.345
Gonçalves | 3127404 | 2015 | 78.405
Gonçalves | 3127404 | 2016 | 78.445
Gonçalves | 3127404 | 2017 | 77.995
Gonçalves | 3127404 | 2018 | 77.74
Gonçalves | 3127404 | 2019 | 77.58500000000001
Gonçalves | 3127404 | 2020 | 74.405
Grão Mogol | 3127800 | 2015 | 81.86
Grão Mogol | 3127800 | 2016 | 81.28999999999999
Grão Mogol | 3127800 | 2017 | 81.56
Grão Mogol | 3127800 | 2018 | 80.695
Grão Mogol | 3127800 | 2019 | 80.91499999999999
Grão Mogol | 3127800 | 2020 | 79.9
Guapé | 3128105 | 2015 | 78.405
Guapé | 3128105 | 2016 | 77.3
Guapé | 3128105 | 2017 | 77.875
Guapé | 3128105 | 2018 | 78.08500000000001
Guapé | 3128105 | 2019 | 77.525
Guapé | 3128105 | 2020 | 77.03
Guaranésia | 3128303 | 2015 | 78.405
Guaranésia | 3128303 | 2016 | 77.26
Guaranésia | 3128303 | 2017 | 77.325
Guaranésia | 3128303 | 2018 | 76.97
Guaranésia | 3128303 | 2019 | 77.19
Guaranésia | 3128303 | 2020 | 76.14
Guarará | 3128501 | 2015 | 79.34
Guarará | 3128501 | 2016 | 79.395
Guarará | 3128501 | 2017 | 79.16499999999999
Guarará | 3128501 | 2018 | 78.575
Guarará | 3128501 | 2019 | 78.58
Guarará | 3128501 | 2020 | 78.01
Guarda-Mor | 3128600 | 2015 | 80.185
Guarda-Mor | 3128600 | 2016 | 79.76
Guarda-Mor | 3128600 | 2017 | 79.91
Guarda-Mor | 3128600 | 2018 | 79.565
Guarda-Mor | 3128600 | 2019 | 79.22
Guarda-Mor | 3128600 | 2020 | 79.2
Guimarânia | 3128907 | 2015 | 79.37
Guimarânia | 3128907 | 2016 | 78.88
Guimarânia | 3128907 | 2017 | 77.675
Guimarânia | 3128907 | 2018 | 78.28999999999999
Guimarânia | 3128907 | 2019 | 78.83500000000001
Guimarânia | 3128907 | 2020 | 78.805
Guiricema | 3129004 | 2015 | 77.795
Guiricema | 3129004 | 2016 | 27.855
Guiricema | 3129004 | 2017 | 26.87
Guiricema | 3129004 | 2018 | 27.025
Guiricema | 3129004 | 2019 | 27.58
Guiricema | 3129004 | 2020 | 76.76
Heliodora | 3129202 | 2015 | 78.405
Heliodora | 3129202 | 2016 | 78.445
Heliodora | 3129202 | 2017 | 77.995
Heliodora | 3129202 | 2018 | 77.74
Heliodora | 3129202 | 2019 | 77.58500000000001
Heliodora | 3129202 | 2020 | 74.405
Ibertioga | 3129400 | 2015 | 78.405
Ibertioga | 3129400 | 2016 | 79.255
Ibertioga | 3129400 | 2017 | 77.625
Ibertioga | 3129400 | 2018 | 78.41
Ibertioga | 3129400 | 2019 | 78.24
Ibertioga | 3129400 | 2020 | 77.345
Ibiracatu | 3129657 | 2015 | 81.08500000000001
Ibiracatu | 3129657 | 2016 | 80.45
Ibiracatu | 3129657 | 2017 | 80.125
Ibiracatu | 3129657 | 2018 | 79.81
Ibiracatu | 3129657 | 2019 | 80.19
Ibiracatu | 3129657 | 2020 | 80.15
Ibiraci | 3129707 | 2015 | 78.405
Ibiraci | 3129707 | 2016 | 77.795
Ibiraci | 3129707 | 2017 | 77.74
Ibiraci | 3129707 | 2018 | 77.3
Ibiraci | 3129707 | 2019 | 77.47
